Player,Age,Pos,G,GS,Wt,College/Univ,BirthDate,Yrs,Drafted (tm/rnd/yr)
Davante Adams,28,WR,8,8,215,Fresno St.,12/24/1992,6,Green Bay Packers / 2nd / 53rd pick / 2014
Montravius Adams,25,DT,8,0,304,Auburn,7/24/1995,3,Green Bay Packers / 3rd / 93rd pick / 2017
Jaire Alexander,23,CB,9,9,196,Louisville,2/9/1997,2,Green Bay Packers / 1st / 18th pick / 2018
Adrian Amos,27,FS,10,10,214,Penn St.,4/29/1993,5,Chicago Bears / 5th / 142nd pick / 2015
David Batiari,29,OT,7,7,310,Colorado,9/30/1991,7,Green Bay Packers / 4th / 109th pick / 2013
Tim Boyle,26,QB,6,0,232,East. Kentucky,10/3/1994,2,
Hunter Bradley,26,LS,10,0,241,Mississippi St.,5/21/1994,2,Green Bay Packers / 7th / 239th pick / 2018
James Burgess,26,LB,4,0,230,Louisville,3/9/1994,3,
Oren Burks,25,ILB,10,0,233,Vanderbilt,3/21/1995,2,Green Bay Packers / 3rd / 88th pick / 2018
Kenny Clark,25,DT,7,7,314,UCLA,10/4/1995,4,Green Bay Packers / 1st / 27th pick / 2016
Mason Cosby,36,K,10,0,207,Colorado,9/3/1984,13,Green Bay Packers / 6th / 193rd pick / 2007
Ty Ervin,27,RB,7,0,185,San Jose St.,10/7/1993,4,Houston Texans / 4th / 119th pick / 2016
Jonathan Garvin,21,DL,8,0,263,Miami (FL),7/28/1999,Rook,Green Bay Packers / 7th / 242nd pick / 2020
Rashan Gary Gary,23,DL,9,1,277,Michigan,12/3/1997,1,Green Bay Packers / 1st / 12th pick / 2019
Raven Greene,25,S,8,0,197,James Madison,2/2/1995,2,
Ka'dar Hollman,26,CB,9,1,196,Toledo,9/18/1994,1,Green Bay Packers / 6th / 185th pick / 2019
Josh Jackson,24,CB,10,5,196,Iowa,4/3/1996,2,Green Bay Packers / 2nd / 45th pick / 2018
Elgton Jenkins,25,OL,10,10,311,Mississippi St.,12/26/1995,1,Green Bay Packers / 2nd / 44th pick / 2019
Aaron Jones,26,RB,8,8,208,Texas-El Paso,12/2/1994,3,Green Bay Packers / 5th / 182nd pick / 2017
Kingsley Keke,24,DL,10,7,288,Texas A&M,9/26/1996,1,Green Bay Packers / 5th / 150th pick / 2019
Kevin King,25,CB,5,5,200,Washington,5/5/1995,3,Green Bay Packers / 2nd / 33rd pick / 2017
Christian Kirksey,28,OLB,5,5,235,Iowa,8/31/1992,6,Cleveland Browns / 3rd / 71st pick / 2014
Tyler Lancaster,26,DL,9,3,313,Northwestern,11/4/1994,2,
Allen Lazard,25,WR,4,3,227,Iowa St.,12/11/1995,2,
Marcedes Lewis,36,TE,9,9,267,UCLA,5/19/1984,14,Jacksonville Jaguars / 1st / 28th pick / 2006
Corey Linsley,29,C,10,10,301,Ohio St.,7/27/1991,6,Green Bay Packers / 5th / 161st pick / 2014
Jordan Love,22,QB,,,224,Utah St.,11/2/1998,Rook,Green Bay Packers / 1st / 26th pick / 2020
Dean Lowry,26,DE,10,10,296,Northwestern,6/9/1994,4,Green Bay Packers / 4th / 137th pick / 2016
Kamal Martin,22,LB,4,3,240,Minnesota,6/17/1998,Rook,Green Bay Packers / 5th / 175th pick / 2020
Yosuah Nijman,24,T,10,0,314,Virginia Tech,1/2/1996,Rook,
Lucas Patrick,27,G,10,10,313,Duke,7/30/1993,3,
Randy Ramsey,25,LB,6,0,236,Arkansas,9/7/1995,Rook,
Will Redmond,27,CB,8,1,186,Mississippi St.,12/28/1993,2,San Francisco 49ers / 3rd / 68th pick / 2016
Aaron Rodgers,37,QB,10,10,225,"Butte JC (CA),California",12/2/1983,15,Green Bay Packers / 1st / 24th pick / 2005
Jon Runyan,23,OL,10,0,306,Michigan,8/8/1997,Rook,Green Bay Packers / 6th / 192nd pick / 2020
Darnell Savage Jr.,23,S,9,9,198,Maryland,7/30/1997,1,Green Bay Packers / 1st / 21st pick / 2019
JK Scott,25,P,10,0,208,Alabama,10/30/1995,2,Green Bay Packers / 5th / 172nd pick / 2018
Vernon Scott,23,S,9,0,,TCU,9/11/1997,Rook,Green Bay Packers / 7th / 236th pick / 2020
Darrius Shepherd,25,WR,7,0,186,North Dakota St.,11/1/1995,1,
Preston Smith,28,DE,10,10,265,Mississippi St.,11/17/1992,5,Washington Redskins / 2nd / 38th pick / 2015
Za'Darius Smith,28,DE,10,10,272,Kentucky,9/8/1992,5,Baltimore Ravens / 4th / 122nd pick / 2015
Equanimeous St. Brown,24,WR,6,1,214,Notre Dame,9/30/1996,2,Green Bay Packers / 6th / 207th pick / 2018
Jace Sternberger,24,TE,10,0,251,Texas A&M,6/26/1996,1,Green Bay Packers / 3rd / 75th pick / 2019
Chandon Sullivan,24,CB,10,6,189,Georgia St.,8/7/1996,2,
Ty Summers,25,LB,10,1,241,TCU,12/31/1995,1,Green Bay Packers / 7th / 226th pick / 2019
Malik Taylor,25,WR,10,1,216,Ferris St.,12/21/1995,Rook,
Robert Tonka,26,TE,10,8,237,Indiana St.,4/30/1994,2,
Billy Turner,29,OT,8,8,310,North Dakota St.,10/17/1991,6,Miami Dolphins / 3rd / 67th pick / 2014
Marquez Valdes-Scantling,26,WR,10,8,206,"North Carolina St.,South Florida",10/10/1994,2,Green Bay Packers / 5th / 174th pick / 2018
Ricky Wagner,31,OT,10,4,313,Wisconsin,10/21/1989,7,Baltimore Ravens / 5th / 168th pick / 2013
Jamaal Williams,25,RB,9,3,213,BYU,4/3/1995,3,Green Bay Packers / 4th / 134th pick / 2017
Billy Winn,31,DT,4,0,300,Boise St.,4/15/1989,8,Cleveland Browns / 6th / 205th pick / 2012
Team Total,25.8,,10,,242.6,,,2.8,
